page_num,entry_id,registration_date_and_plan_ref,property_description,date_of_lease_and_term,lessees_title,notes
0,1,28.01.2009 tinted blue (part of),Transformer Chamber (Ground Floor),23.01.2009 99 years from 23.1.2009,EGL551039,
0,2,09.07.2009 Edged and numbered 2 in blue (part of),"Endeavour House, 47 Cuba Street, London",06.07.2009 125 years from 1.1.2009,EGL557357,
0,3,25.09.2009 Edged and numbered 3 in blue (part of),"Mayflower House, Westferry Road, London",10.09.2009 125 years from 1.1.2009,EGL560877,
0,4,16.12.2009 Edged and numbered 4 in blue (part of),"Flat 1602, Landmark West Tower(sixteenth floor)",12.11.2009 999 years from 1.1.2009,EGL565026,
0,5,17.12.2009 Edged and numbered 4 in blue (part of),"Flat  207, Landmark West Tower (second floor flat)",01.12.2009 999 years from 1.1.2009,EGL565086,
0,6,17.12.2009 Edged and numbered 4 in blue (part of),"Flat 704, Landmark West Tower (seventh floor flat)",04.12.2009 999 years from 1.1.2009,EGL565089,
0,7,18.12.2009 Edged and numbered 4 in blue (part of),Flat 2207 Landmark West Tower (twenty second floor flat),01.12.2009 999 years from 1.1.2009,EGL565182,
0,8,23.12.2009 Edged and numbered 4 in blue (part of),Flat 1201 Landmark West Tower (twelfth floor flat),01.12.2009 999 years from 1.1.2009,EGL565292,
0,9,23.12.2009 Edged and numbered 4 in blue (part of),Flat 403 Landmark West Tower (fourth floor flat),27.11.2009 999 years from 1.1.2009,EGL565293,
0,10,05.01.2010 Edged and numbered 4 in blue (part of),Flat 1105 Landmark West Tower (eleventh floor flat),01.12.2009 999 years from 1.1.2009,EGL565470,
0,11,06.01.2010 Edged and numbered 4 in blue (part of),Flat 1019 Landmark West Tower (tenth floor flat),02.12.2009 999 years from 1.1.2009,EGL565616,
0,12,08.01.2010 Edged and numbered 4 in blue (part of),Flat 203 Landmark West Tower (second floor flat),09.12.2009 999 years from 1.1.2009,EGL565645,
0,13,08.01.2010 Edged and numbered 6 in blue on supplementary plan 1,Parking Space 80 Landmark West Tower (basement level),12.11.2009 999 years from 1.1.2009,EGL565724,
0,14,08.01.2010 Edged and numbered 7 in blue on supplementary plan 1,Parking Space 81 Landmark West Tower (basement level),12.11.2009 999 years from 1.1.2009,EGL565725,
0,15,11.01.2010 Edged and numbered 4 in blue (part of),Flat 808 Landmark West Tower (eighth floor flat),27.11.2009 999 years from 1.1.2009,EGL565765,
0,16,12.01.2010 Edged and numbered 4 in blue (part of),Flat 604 Landmark West Tower (sixth floor flat),30.10.2009 999 years from 1.1.2009,EGL565856,
0,17,12.01.2010 Edged and numbered 4 in blue (part of),Flat 603 Landmark West Tower (sixth floor flat),30.10.2009 999 years from 1.1.2009,EGL565866,
0,18,13.01.2010 Edged and numbered 4 in blue (part of),Flat 1801 Landmark West Tower (eighteenth floor flat),22.12.2009 999 years from 1.1.2009,EGL565967,
0,19,15.01.2010 Edged and numbered 4 in blue (part of),Flat 1403 Landmark West Tower (fourteenth floor flat),04.12.2009 999 years from 1.1.2009,EGL566147,
0,20,15.01.2010 Edged and numbered 8 in blue on supplementary plan 1,Parking Space 24 Landmark West Tower (basement level),04.12.2009 999 years from 1.1.2009,EGL566155,
0,21,18.01.2010 Edged and numbered 4 in blue (part of),Flat 1301 Landmark West Tower (thirteenth floor flat),07.12.2009 999 years from 1.1.2009,EGL566221,
0,22,18.01.2010 Edged and numbered 4 in blue (part of),Flat 1205 Landmark West Tower (twelfth floor flat),01.12.2009 999 years from 1.1.2009,EGL566227,
0,23,18.01.2010 Edged and numbered 9 in blue on supplementary plan 1,Parking Space 27 Landmark West Tower (basement level),07.12.2009 999 years from 1.1.2009,EGL566222,
